name,position,team,GW,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,bonus,goals_conceded,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,team_standing,sched_strength,5_gw_fpl_pts
Aaron Cresswell,DEF,West Ham,5,86.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.25,2.25
Aaron Hickey,DEF,Brentford,5,77.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,8.2,9.0,1.0
Aaron Ramsdale,GK,Arsenal,5,90.0,0.0,0.0,0.4,1.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,6.25,2.75
Aaron Wan-Bissaka,DEF,Man Utd,5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.666666666666667,0.0
Abdoulaye Doucouré,MID,Everton,5,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.5,0.5
Adam Armstrong,FWD,Southampton,5,60.8,0.2,0.2,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,1.75
Adam Forshaw,MID,Leeds,5,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,14.333333333333334,0.0
Adam Lallana,MID,Brighton,5,40.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,9.666666666666666,0.6666666666666666
Adam Smith,DEF,Bournemouth,5,81.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,2.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,12.2,14.5,3.25
Adam Webster,DEF,Brighton,5,90.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.4,9.666666666666666,0.6666666666666666
